event_id,event_name,event_type,genre,subgenre,date_local,time_local,venue_name,venue_city,venue_state,venue_lat,venue_lon,url
Z7r9jZ1A7Q808,Washington Nationals vs Baltimore Orioles: Kids Novelty Sliding Mitt,Sports,Baseball,MLB,2026-05-17,13:35:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q808
Z7r9jZ1A7-YZa,Howard University Bison Football vs. Richmond Spiders Football,Sports,Miscellaneous,Miscellaneous,2026-05-17,,Greene Stadium,Washington,DC,38.922100000,-77.019997000,https://www.ticketmaster.com/event/Z7r9jZ1A7-YZa
Z7r9jZ1A7Q80o,Washington Nationals vs. New York Mets,Sports,Baseball,MLB,2026-05-18,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80o
Z7r9jZ1A7Q80K,Washington Nationals vs. New York Mets,Sports,Baseball,MLB,2026-05-19,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80K
Z7r9jZ1A7Q80f,Washington Nationals vs. New York Mets,Sports,Baseball,MLB,2026-05-20,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80f
Z7r9jZ1A7Q80p,Washington Nationals vs. New York Mets,Sports,Baseball,MLB,2026-05-21,16:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80p
1A4ZkCKGkda3Bk6,D.C. United vs CF Montréal,Sports,Soccer,MLS,2026-05-23,19:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-united-vs-cf-montreal-washington-district-of-columbia-05-23-2026/event/15006393C94BA187
Z7r9jZ1A7Q809,Washington Nationals vs. San Diego Padres,Sports,Baseball,MLB,2026-05-29,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q809
1A4Zk8VGkeNO9li,Washington Mystics vs. Los Angeles Sparks,Sports,Basketball,WNBA,2026-05-29,19:30:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-los-angeles-sparks-washington-district-of-columbia-05-29-2026/event/15006434A3817AEC
Z7r9jZ1A7Q80_,Washington Nationals vs San Diego Padres: CJ Abrams Baseball Card Bobblehead,Sports,Baseball,MLB,2026-05-30,16:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80_
1A4Zk8IGkd4XboT,Youth Night: Washington Spirit vs. Seattle Reign FC,Sports,Soccer,Soccer,2026-05-30,18:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/youth-night-washington-spirit-vs-seattle-washington-district-of-columbia-05-30-2026/event/15006428D5F9847F
1AvfZ_dGkmIeaef,Premium Spaces: Washington Spirit vs. Seattle Reign FC,Sports,Soccer,Soccer,2026-05-30,18:30:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.gofevo.com/group/PREMIUM0530
1AvfZbyGkXLRPWH,DC Defenders vs. Orlando Storm,Sports,Football,XFL,2026-05-31,12:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/dc-defenders-vs-orlando-storm-washington-district-of-columbia-05-31-2026/event/1500639F9FBE5F7C
Z7r9jZ1A7Q80-,Washington Nationals vs San Diego Padres: Kids Racing Presidents Hat,Sports,Baseball,MLB,2026-05-31,13:35:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80-
Z7r9jZ1A7Q80N,Washington Nationals vs. Miami Marlins,Sports,Baseball,MLB,2026-06-01,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80N
Z7r9jZ1A7Q800,Washington Nationals vs. Miami Marlins,Sports,Baseball,MLB,2026-06-02,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q800
1A4Zk8VGkeN-9lR,Washington Mystics vs. Chicago Sky,Sports,Basketball,WNBA,2026-06-02,20:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-chicago-sky-washington-district-of-columbia-06-02-2026/event/15006434A3857AEF
Z7r9jZ1A7Q80J,Washington Nationals vs. Miami Marlins,Sports,Baseball,MLB,2026-06-03,13:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80J
1A4Zk8VGkeNx9lS,Washington Mystics vs. Indiana Fever,Sports,Basketball,WNBA,2026-06-08,20:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-indiana-fever-washington-district-of-columbia-06-08-2026/event/15006434A3897AF3
1AvfZ_6Gkl0hBWy,Washington Mystics vs. Indiana Fever: Crossover Hockey Jersey,Sports,Basketball,WNBA,2026-06-08,20:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.gofevo.com/event/MysticsCrossoverHockeyJersey
Z7r9jZ1A7Q80E,Washington Nationals vs. Seattle Mariners,Sports,Baseball,MLB,2026-06-12,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80E
1A4Zk8VGkeNNElU,Washington Mystics vs. Toronto Tempo,Sports,Basketball,WNBA,2026-06-12,19:30:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-toronto-tempo-washington-district-of-columbia-06-12-2026/event/15006434A38E7AF6
Z7r9jZ1A7Q80t,Washington Nationals vs Seattle Mariners: Daylen Lile Bobblehead,Sports,Baseball,MLB,2026-06-13,16:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80t
Z7r9jZ1A7Q80Y,Washington Nationals vs. Seattle Mariners,Sports,Baseball,MLB,2026-06-14,13:35:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80Y
Z7r9jZ1A7Q80w,Washington Nationals vs. Kansas City Royals,Sports,Baseball,MLB,2026-06-15,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80w
Z7r9jZ1A7Q80S,Washington Nationals vs Kansas City Royals: Historic Replica Jersey,Sports,Baseball,MLB,2026-06-16,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80S
Z7r9jZ1A7Q80g,Washington Nationals vs. Kansas City Royals,Sports,Baseball,MLB,2026-06-17,13:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80g
Z7r9jZ1A7Q80U,Washington Nationals vs. Philadelphia Phillies,Sports,Baseball,MLB,2026-06-22,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80U
Z7r9jZ1A7Q80z,Washington Nationals vs Philadelphia Phillies: Nationals Basketball Jersey,Sports,Baseball,MLB,2026-06-23,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80z
Z7r9jZ1A7Q80y,Washington Nationals vs. Philadelphia Phillies,Sports,Baseball,MLB,2026-06-24,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q80y
1A4Zk8VGkeN0ElW,Washington Mystics vs. Minnesota Lynx,Sports,Basketball,WNBA,2026-06-24,19:30:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-minnesota-lynx-washington-district-of-columbia-06-24-2026/event/15006434A3927AFD
Z7r9jZ1A7Q8Pv,Washington Nationals vs Philadelphia Phillies: Nationals Soccer Jersey,Sports,Baseball,MLB,2026-06-25,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8Pv
1A4Zk8VGkeNPMiA,Washington Mystics vs. Portland Fire,Sports,Basketball,WNBA,2026-06-28,15:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-portland-fire-washington-district-of-columbia-06-28-2026/event/15006434A3977B05
1A4Zk8VGkeNJMiF,Washington Mystics vs. Atlanta Dream,Sports,Basketball,WNBA,2026-07-02,19:30:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-atlanta-dream-washington-district-of-columbia-07-02-2026/event/15006434A39B7B08
Z7r9jZ1A7Q8Pe,Washington Nationals vs. Pittsburgh Pirates,Sports,Baseball,MLB,2026-07-03,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8Pe
1A4Zk8IGkd4TI37,In Spirit of Service Night: Washington Spirit vs. Houston Dash,Sports,Soccer,Soccer,2026-07-03,20:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.ticketmaster.com/in-spirit-of-service-night-washington-washington-district-of-columbia-07-03-2026/event/15006428D5FE8484
1AvfZ_dGkmIe_ep,Premium Spaces: Washington Spirit vs. Houston Dash,Sports,Soccer,Soccer,2026-07-03,20:00:00,Audi Field,Washington,DC,38.86799800,-77.01364200,https://www.gofevo.com/group/PREMIUM0703
Z7r9jZ1A7Q8P7,Washington Nationals vs. Pittsburgh Pirates,Sports,Baseball,MLB,2026-07-04,11:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8P7
Z7r9jZ1A7Q8PA,Washington Nationals vs Pittsburgh Pirates: Nationals Patriotic Shirt,Sports,Baseball,MLB,2026-07-05,13:00:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8PA
Z7r9jZ1A7Q8P6,Washington Nationals vs. Houston Astros,Sports,Baseball,MLB,2026-07-06,19:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8P6
1A4Zk8VGkeNI6i2,Washington Mystics vs. Golden State Valkyries,Sports,Basketball,WNBA,2026-07-06,19:30:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-golden-state-valkyries-washington-district-of-columbia-07-06-2026/event/15006434A3A07B0F
Z7r9jZ1A7Q8PF,Washington Nationals vs. Houston Astros,Sports,Baseball,MLB,2026-07-07,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8PF
Z7r9jZ1A7Q8P8,Washington Nationals vs. Houston Astros,Sports,Baseball,MLB,2026-07-08,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8P8
Z7r9jZ1A7Q8Po,Washington Nationals vs New York Yankees: Marvel's Captain America Bobblehead,Sports,Baseball,MLB,2026-07-10,18:45:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8Po
Z7r9jZ1A7Q8PK,Washington Nationals vs. New York Yankees,Sports,Baseball,MLB,2026-07-11,16:05:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8PK
Z7r9jZ1A7Q8Pf,Washington Nationals vs. New York Yankees,Sports,Baseball,MLB,2026-07-12,13:35:00,Nationals Park,Washington,DC,38.882000000,-76.992500000,https://www.ticketmaster.com/event/Z7r9jZ1A7Q8Pf
1A4Zk8VGkeNt6i9,Washington Mystics vs. Seattle Storm,Sports,Basketball,WNBA,2026-07-12,15:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-seattle-storm-washington-district-of-columbia-07-12-2026/event/15006434A3A47B17
1A4Zk8VGkeNn9ih,Washington Mystics vs. Portland Fire,Sports,Basketball,WNBA,2026-07-16,19:00:00,CareFirst Arena,Washington,DC,38.84683200,-76.99112900,https://www.ticketmaster.com/washington-mystics-vs-portland-fire-washington-district-of-columbia-07-16-2026/event/15006434A3A97B1B
